Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"As an admin, I want to Group By the Taxes so that I can see the tax details of a specified time",UN-27,10052,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 6:02 AM,07/Sep/21 11:27 AM,09/Sep/21 3:22 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008w:zg,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want  to enter Tax End date, so that I can get details of all taxes upto the last order",UN-26,10051,Story,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 6:00 AM,07/Sep/21 8:29 AM,09/Sep/21 3:20 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0005y:y,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to enter Tax Start date ,so that I can  get the details of all orders from the starting date",UN-25,10050,Story,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 5:58 AM,07/Sep/21 8:29 AM,09/Sep/21 3:18 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0005y:6,,UN Sprint 1,,,,,,,,In Progress
Verify whether the Tax Group By and Order Status are filtered in the result,UN-24,10049,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 5:21 AM,07/Sep/21 11:24 AM,08/Sep/21 5:29 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-19,UN-21,,,,,,,,,,,{},,,,,,,0|i0005y:5,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax Date Start and Date End fields are correctly filtered in the result,UN-23,10048,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 5:16 AM,07/Sep/21 11:23 AM,08/Sep/21 5:33 AM,07/Sep/21 11:23 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-18,UN-21,,,,,,,,,,,{},,,,,,,0|i0005y:4,,UN Sprint 1,,,,,,,,In Progress
Verify the 'tax section' if filter button is clickable,UN-22,10047,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 4:58 AM,07/Sep/21 11:23 AM,08/Sep/21 5:33 AM,07/Sep/21 11:23 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-17,UN-21,,,,,,,,,,,{},,,,,,,0|i0005y:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to filter the tax Date Start, Date End, Group By and Order Status fields so that I can get my desired records",UN-21,10046,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 4:02 AM,07/Sep/21 11:23 AM,08/Sep/21 5:34 AM,07/Sep/21 11:23 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0005x:i,,UN Sprint 1,,,,,,,,In Progress
"Verify the orders, tax and shipping details is shown under the sales reports",UN-20,10045,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 11:37 AM,07/Sep/21 11:23 AM,09/Sep/21 5:04 AM,07/Sep/21 11:23 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-19,UN-16,,,,,,,,,,,{},,,,,,,0|i0004o:vi,,UN Sprint 1,,,,,,,,In Progress
Verify whether the Orders  Group By and Order Status are filtered in the result,UN-19,10044,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 11:27 AM,07/Sep/21 11:22 AM,09/Sep/21 5:04 AM,07/Sep/21 11:22 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-18,UN-15,,,,,,,,,,,{},,,,,,,0|i0004o:t,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders Date Start and Date End fields are filtered in the result,UN-18,10043,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 11:06 AM,09/Sep/21 3:32 AM,09/Sep/21 3:32 AM,07/Sep/21 11:22 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-17,UN-15,,,,,,,,,,,{},,,,,,,0|i0004o:s,,UN Sprint 1,,,,,,,,In Progress
Verify that the 'Orders section' if filter button is clickable,UN-17,10042,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 10:52 AM,07/Sep/21 11:22 AM,09/Sep/21 5:04 AM,07/Sep/21 11:22 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-15,,,,,,,,,,,{},,,,,,,0|i0004o:ri,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to see my Orders, Tax and shipping reports under reports section so that I can keep a track on my reports",UN-16,10041,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 10:50 AM,07/Sep/21 11:23 AM,09/Sep/21 5:04 AM,07/Sep/21 11:23 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0005x:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to filter the Orders Date Start, Date End, Group By and Order Status fields so that I can get my desired report",UN-15,10040,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 10:44 AM,07/Sep/21 11:23 AM,09/Sep/21 3:35 AM,07/Sep/21 11:23 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i00052:,,UN Sprint 1,,,,,,,,In Progress
"Verify the 'Order Status' field in orders, with multiple selection from the dropdown list",UN-14,10039,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 10:24 AM,07/Sep/21 11:22 AM,09/Sep/21 5:04 AM,07/Sep/21 11:22 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-13,UN-5,,,,,,,,,,,{},,,,,,,0|i0004o:q,,UN Sprint 1,,,,,,,,In Progress
Verify 'Order Status' field in Orders whether admin is able to select an option from the dropdown,UN-13,10038,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 10:21 AM,07/Sep/21 11:22 AM,09/Sep/21 5:04 AM,07/Sep/21 11:22 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-12,UN-5,,,,,,,,,,,{},,,,,,,0|i0004l:,,UN Sprint 1,,,,,,,,In Progress
Verify whether the Orders 'Order Status' field shows dropdown box on clicking,UN-12,10037,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 10:03 AM,07/Sep/21 11:22 AM,08/Sep/21 5:29 AM,07/Sep/21 11:22 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-11,UN-5,,,,,,,,,,,{},,,,,,,0|i0004j:,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Group By' field with whether admin is able to select an option from the dropdown list,UN-11,10036,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 9:53 AM,07/Sep/21 11:21 AM,08/Sep/21 5:28 AM,07/Sep/21 11:21 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-10,UN-4,,,,,,,,,,,{},,,,,,,0|i0004i:,,UN Sprint 1,,,,,,,,In Progress
"Verify that on clicking the Orders 'Group By' field, admin sees the dropdown list",UN-10,10035,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 9:46 AM,07/Sep/21 11:22 AM,08/Sep/21 5:28 AM,07/Sep/21 11:22 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-4,,,,,,,,,,,{},,,,,,,0|i0004f:,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Date End' field with whether the calendar displays on clicking on the calendar icon,UN-9,10034,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 9:33 AM,07/Sep/21 11:21 AM,09/Sep/21 2:59 AM,07/Sep/21 11:21 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-3,,,,,,,,,,,{},,,,,,,0|i0004e:,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Date End' field with selecting a date from the calendar,UN-8,10033,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 8:38 AM,07/Sep/21 11:21 AM,09/Sep/21 3:00 AM,07/Sep/21 11:21 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-3,,,,,,,,,,,{},,,,,,,0|i0004d:,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Date Start' field with selecting a date from the calendar,UN-7,10032,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 8:27 AM,07/Sep/21 11:20 AM,09/Sep/21 2:57 AM,07/Sep/21 11:20 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-6,UN-2,,,,,,,,,,,{},,,,,,,0|i00045:,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Date Start' field with whether the calendar displays on clicking on the calendar icon,UN-6,10031,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 8:19 AM,07/Sep/21 11:19 AM,09/Sep/21 2:56 AM,07/Sep/21 11:19 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-2,,,,,,,,,,,{},,,,,,,0|i00044:i,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to give my order status so that I can filter all orders coming under that status",UN-5,10030,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 7:13 AM,07/Sep/21 11:16 AM,09/Sep/21 3:22 AM,07/Sep/21 11:16 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i00042:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to Group By my Orders so that I can access the order details of a specified time",UN-4,10029,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 7:09 AM,07/Sep/21 11:16 AM,09/Sep/21 4:41 AM,07/Sep/21 11:16 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i00041:v,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want  to enter Orders End date, so that I can get all details upto the last order",UN-3,10028,Story,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 7:07 AM,07/Sep/21 8:58 AM,09/Sep/21 3:18 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i00041:r,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to enter orders Start date ,so that I can  get the detail of all orders from the first order",UN-2,10027,Story,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 7:05 AM,07/Sep/21 8:57 AM,09/Sep/21 4:41 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i00041:i,,UN Sprint 1,,,,,,,,In Progress
Sales Reports,UN-1,10026,Epic,In Progress,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,02/Sep/21 6:45 AM,07/Sep/21 6:18 AM,09/Sep/21 4:00 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,Sales Reports,To Do,,,0|i00041:,,UN Sprint 1,,,,,,,,In Progress
